# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.00400   0.02800   0.05179   Lower   A v -> Y ^    PE_top:pe_in_pk_PE_state__2_
0.00400   0.02800   0.05221   Lower   A v -> Y ^    PE_top:pe_in_pk_PE_state__1_
0.00400   0.02800   0.07972   Lower   A v -> Y ^    PE_top:clk
0.00400   0.02800   0.11877   Lower   A v -> Y ^    PE_top:reset
0.00400   0.02800   0.05390   Lower   A v -> Y ^    PE_top:pe_in_pk_A__3__7_
0.00400   0.02800   0.05542   Lower   A v -> Y ^    PE_top:pe_in_pk_PE_state__0_
0.00400   0.02800   0.04527   Lower   A v -> Y ^    PE_top:pe_in_pk_A__3__6_
0.00400   0.02800   0.04561   Lower   A v -> Y ^    PE_top:pe_in_pk_A__3__5_
0.00400   0.02800   0.04427   Lower   A v -> Y ^    PE_top:pe_in_pk_A__3__4_
0.00400   0.02800   0.04432   Lower   A v -> Y ^    PE_top:pe_in_pk_A__3__3_
0.00400   0.02800   0.04471   Lower   A v -> Y ^    PE_top:pe_in_pk_A__3__2_
0.00400   0.02800   0.04276   Lower   A v -> Y ^    PE_top:pe_in_pk_A__3__1_
0.00400   0.02800   0.04174   Lower   A v -> Y ^    PE_top:pe_in_pk_A__3__0_
0.00400   0.02800   0.04435   Lower   A v -> Y ^    PE_top:pe_in_pk_A__2__7_
0.00400   0.02800   0.04592   Lower   A v -> Y ^    PE_top:pe_in_pk_A__2__6_
0.00400   0.02800   0.04368   Lower   A v -> Y ^    PE_top:pe_in_pk_A__2__5_
0.00400   0.02800   0.04177   Lower   A v -> Y ^    PE_top:pe_in_pk_A__2__4_
0.00400   0.02800   0.04253   Lower   A v -> Y ^    PE_top:pe_in_pk_A__2__3_
0.00400   0.02800   0.04017   Lower   A v -> Y ^    PE_top:pe_in_pk_A__2__2_
0.00400   0.02800   0.03686   Lower   A v -> Y ^    PE_top:pe_in_pk_A__2__1_
0.00400   0.02800   0.03477   Lower   A v -> Y ^    PE_top:pe_in_pk_A__2__0_
0.00400   0.02800   0.03304   Lower   A v -> Y ^    PE_top:pe_in_pk_A__1__7_
0.00400   0.02800   0.02820   Lower   A v -> Y ^    PE_top:pe_in_pk_A__1__6_
0.00400   0.02800   0.02981   Lower   A v -> Y ^    PE_top:pe_in_pk_A__1__5_
0.00400   0.02800   0.02912   Lower   A v -> Y ^    PE_top:pe_in_pk_A__1__4_
0.00400   0.02800   0.02821   Lower   A v -> Y ^    PE_top:pe_in_pk_A__1__3_
0.00400   0.02800   0.03306   Lower   A v -> Y ^    PE_top:pe_in_pk_A__1__2_
0.00400   0.02800   0.03102   Lower   A v -> Y ^    PE_top:pe_in_pk_A__1__1_
