# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.00400   0.02800   0.03512   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__3__7_
0.00400   0.02800   0.08189   Lower   A v -> Y ^    PE_POOL:reset
0.00400   0.02800   0.07999   Lower   A v -> Y ^    PE_POOL:clk
0.00400   0.02800   0.03191   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__3__6_
0.00400   0.02800   0.04028   Lower   A v -> Y ^    PE_POOL:pe_in_pk_PE_state__1_
0.00400   0.02800   0.04201   Lower   A v -> Y ^    PE_POOL:pe_in_pk_PE_state__0_
0.00400   0.02800   0.03007   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__3__5_
0.00400   0.02800   0.02925   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__3__4_
0.00400   0.02800   0.03942   Lower   A v -> Y ^    PE_POOL:pe_in_pk_PE_state__2_
0.00400   0.02800   0.02901   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__3__3_
0.00400   0.02800   0.03042   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__3__2_
0.00400   0.02800   0.02962   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__3__1_
0.00400   0.02800   0.03198   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__3__0_
0.00400   0.02800   0.03207   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__2__7_
0.00400   0.02800   0.03040   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__2__6_
0.00400   0.02800   0.03132   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__2__5_
0.00400   0.02800   0.02974   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__2__4_
0.00400   0.02800   0.03147   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__2__3_
0.00400   0.02800   0.02890   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__2__2_
0.00400   0.02800   0.02999   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__2__1_
0.00400   0.02800   0.03076   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__2__0_
0.00400   0.02800   0.03331   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__1__5_
0.00400   0.02800   0.02934   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__1__3_
0.00400   0.02800   0.03158   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__1__7_
0.00400   0.02800   0.03379   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__1__4_
0.00400   0.02800   0.03650   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__1__2_
0.00400   0.02800   0.03446   Lower   A v -> Y ^    PE_POOL:pe_in_pk_A__1__1_
